percentage,mae,rmse,mae_percent
0,8.502292096125261,10.92415435984277,9.583178652739162
10,7.1809942824468935,9.581445564519118,8.093905776813857
20,7.225107017128016,9.544296249824184,8.151945901802481
30,7.3332832768919705,9.450389549531803,8.273999044456916
40,6.6969120420177015,9.067492871904177,7.56821630655695
50,6.971521027849353,9.781205941528704,7.878553397959454
60,6.429435905131701,8.765875617655224,7.262696179326435
70,7.585057553914185,10.047504139258008,8.513555597012324
80,6.34904170207724,8.454335254054296,7.1262372281527275
90,6.264093542724522,8.481996345202523,7.030890439763493
100,6.317451558680969,8.635693054930778,7.0907800888746015
